sleep,naps,sleepQuality,steps,exercise,sugar,read,write,meditation,mood
4,No,Poor,1793.378965,No,Yes,No,Yes,No,4
11,No,Average,8189.732888,Yes,Yes,No,No,No,4
10,No,Average,4021.979967,No,No,No,No,No,3
7.5,No,Average,3704.128548,No,Yes,No,Yes,No,3
10,No,Average,3056.944908,No,No,Yes,No,No,4
11,No,Poor,407,Yes,No,Yes,No,Yes,3
10,No,Poor,0,No,Yes,No,No,No,3
11,No,Poor,4796.165275,No,Yes,No,No,Yes,3
7,No,Poor,8108.519199,Yes,Yes,No,No,No,3
12,No,Poor,8096.100167,Yes,Yes,Yes,Yes,No,3
10,No,Poor,6881.03005,Yes,Yes,Yes,No,No,4
11.516,No,Poor,7116.871452,Yes,Yes,Yes,Yes,Yes,3
8.449,No,Average,7415.617696,Yes,Yes,No,No,No,2
9.449,Yes,Poor,5725.237062,Yes,No,Yes,No,No,5
5.599,No,Poor,4583.542666,Yes,No,No,No,No,2
4.383,No,Poor,3413.667685,Yes,No,Yes,Yes,Yes,2
9.283,No,Average,8384.51586,Yes,No,Yes,Yes,No,3
13.049,No,Average,6948.352254,Yes,No,Yes,No,No,1
